2024-09-18 12:56:21 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:56:27 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:58:42 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:59:33 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:59:43 | POST /execute_command/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 13:00:00 | POST /execute_command/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 13:00:29 | POST /execute_command/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 13:00:42 | POST /execute_command/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 13:00:48 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 13:00:49 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 13:00:49 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 13:00:50 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 13:00:51 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
